Componente,Horizonte,Modelo,Look_Back,Feature_Engineering,MAE,RMSE,R2,MAPE
D2,5,SVR_RobustScaler_lb5,5,True,0.5717342382167325,0.8026592012374336,0.25139370319046084,219.77710672138895
D2,5,SVR_StandardScaler_lb5,5,True,0.572491634958997,0.8038797988396438,0.24911517249277293,217.92359859719218
D2,5,SVR_RobustScaler_lb10,10,True,0.5140503132108225,0.7295029117853379,0.3820157235929976,225.33558034924712
D2,5,SVR_StandardScaler_lb10,10,True,0.5031368198531848,0.7189111147565083,0.3998307199378984,220.79134913620564
