Componente,Horizonte,Modelo,Look_Back,Feature_Engineering,MAE,RMSE,R2,MAPE
D1,5,SVR_RobustScaler_lb5,5,True,0.8400061934935534,1.2546860675454088,-0.010988146091217121,335566105.63500136
D1,5,SVR_StandardScaler_lb5,5,True,0.8410324137172117,1.2545694678387245,-0.010800249776870219,353118484.52496064
D1,5,SVR_RobustScaler_lb10,10,True,0.8669204608799019,1.276694868617456,-0.04659508469914608,590518605.7370777
D1,5,SVR_StandardScaler_lb10,10,True,0.8664709351045546,1.2756165615249275,-0.0448279054947307,615007227.9787416
