RMSE,MAE,MAPE,C30,R2,passo,look_back,modelo_a3,modelo_d123
1.4837376498461872,1.088873112819824,11.293452821271705,94.51289216308903,0.7388905674125623,1,5,LSTM,XGBoost_Simples
1.8329297925457158,1.380324689356112,14.280918694751058,90.10039395094675,0.601573459509654,5,5,LSTM,XGBoost_Simples
2.0159830300065478,1.5422252145656588,16.471500644777898,85.6652251335538,0.5181493518803106,7,10,LSTM,XGBoost_Simples
2.6420841016348287,2.182062215381341,25.354024534263697,67.53412425054216,0.1731401254642363,30,10,LSTM,XGBoost_Simples
