Componente,Horizonte,Modelo,Look_Back,Feature_Engineering,MAE,RMSE,R2,MAPE
D3,5,SVR_RobustScaler_lb5,5,True,0.33335351915778033,0.49150762889041855,0.6547436642771294,234.32446425456624
D3,5,SVR_StandardScaler_lb5,5,True,0.33381088515423546,0.4919499679664646,0.6541219482305662,234.73943927307852
D3,5,SVR_RobustScaler_lb10,10,True,0.2562218977001097,0.37885334536761067,0.7949630747548806,193.27980119310763
D3,5,SVR_StandardScaler_lb10,10,True,0.2536065183345346,0.373230449433188,0.8010041758615087,191.14299615284344
