Data,RMD_A401,RMD_A403,RMD_A415,RMDM,RMDM_Norm
2002-03-14,7.5,0.0,0.0,7.5,0.2677824267782427
2002-03-15,10.2,0.0,0.0,10.2,0.3807531380753138
2002-03-16,5.4,0.0,0.0,5.4,0.17991631799163182
2002-03-17,8.3,0.0,0.0,8.3,0.3012552301255231
2002-03-18,8.0,0.0,0.0,8.0,0.2887029288702929
2002-03-19,4.4,0.0,0.0,4.4,0.1380753138075314
2002-03-20,9.8,0.0,0.0,9.8,0.3640167364016737
2002-03-21,7.0,0.0,0.0,7.0,0.2468619246861925
2002-03-22,4.2,10.400000000000002,0.0,10.400000000000002,0.389121338912134
2002-03-23,8.0,11.500000000000002,0.0,11.500000000000002,0.4351464435146445
2002-03-24,9.1,12.6,0.0,12.6,0.48117154811715485
2002-03-25,4.5,12.875677710843377,0.0,12.875677710843377,0.49270618037001584
2002-03-26,6.5,14.8,0.0,14.8,0.5732217573221758
2002-03-27,13.0,15.9,0.0,15.9,0.6192468619246863
2002-03-28,8.1,14.5,0.0,14.5,0.5606694560669456
2002-03-29,6.9,19.2,0.0,19.2,0.7573221757322177
2002-03-30,8.8,19.7,0.0,19.7,0.7782426778242679
2002-03-31,8.8,16.2,0.0,16.2,0.6317991631799165
2002-04-01,7.9,13.4,0.0,13.4,0.5146443514644352
2002-04-02,6.8,11.5,0.0,11.5,0.4351464435146444
2002-04-03,8.6,10.2,0.0,10.2,0.3807531380753138
2002-04-04,6.7,9.2,0.0,9.2,0.3389121338912134
2002-04-05,5.0,12.5,0.0,12.5,0.47698744769874485
2002-04-06,6.9,11.3,0.0,11.3,0.4267782426778243
2002-04-07,12.6,13.9,0.0,13.9,0.5355648535564854
2002-04-08,7.0,9.3,0.0,9.3,0.3430962343096235
2002-04-09,8.9,10.8,0.0,10.8,0.4058577405857741
2002-04-10,7.6,9.5,0.0,9.5,0.35146443514644354
2002-04-11,5.4,7.6,0.0,7.6,0.2719665271966527
2002-04-12,8.4,8.3,0.0,8.4,0.30543933054393313
2002-04-13,9.3,8.4,0.0,9.3,0.3430962343096235
2002-04-14,15.6,9.5,0.0,15.6,0.606694560669456
2002-04-15,6.3,13.4,0.0,13.4,0.5146443514644352
2002-04-16,8.1,12.8,0.0,12.8,0.48953974895397495
2002-04-17,6.9,7.1,0.0,7.1,0.2510460251046025
